NOME	TELEFONE	UF	EMAIL	WEB
R.E.F. COMUNICAÇÃO	(11) 3045.2515	SP	ref@refcomunicacao.com.br	http://www.refcomunicacao.com.br
3A WORLDWIDE	(21) 2271.1700	RJ	3a@3aworldwide.com.br	http://www.3aworldwide.com.br
AGÊNCIA LZ	(31) 3194.8700	MG	luigi@agencialz.com.br	http://www.agencialz.com.br
AGÊNCIA3	(21) 3873.9433	RJ	agencia3@agencia3.com.br	http://www.agencia3.com.br
AGNELO COMUNICAÇÃO	(11) 3068.7266	SP	agnelo@agnelo.com.br	http://www.agnelo.com.br
ALMAPBBDO	(11) 2395.4000	SP	almap@almapbbdo.com.br	http://www.almapbbdo.com.br
AMAZING PUBLICIDADE	(11) 3044.3000	SP	guilherme@amazingpublicidade.com.br	http://www.amazingpublicidade.com.br
AQUATRO COMUNICAÇÃO & MARKETING	(27) 2125.4454	ES	aquatro@aquatro.com	http://www.aquatro.com
ÁREA COMUNICAÇÃO	(11) 5594.0288	SP	area@areacom.com.br	http://www.areacom.com.br
ARQUITETANDO DESIGN	(11) 4371.2501	SP	contato@arquitetandodesign.com.br	http://www.arquitetandodesign.com.br
BABEL	(11) 3841.2777	SP	recepcao@agenciababel.com.br	http://www.agenciababel.com.br
BAMBOO&CO	(11) 3386.5200	SP	recepcao@agenciababel.com.br	http://www.bamboo.ag
BCS/MINERA 360º PROPAGANDA	(11) 5092.4233	SP	constantino@bcscomunicacao.com.br	http://www.bcscomunicacao.com.br
BORGHI/LOWE	(11) 3299.2999	SP	borghi.lowe@borghilowe.com.br	http://www.borghilowe.com.br
BRANCOZULU	(11) 3251.4600	SP	glaucociasca@brancozulu.com.br	http://www.brancozulu.com.br
BRANDISH AD.	(11) 3816.0775	SP	brandish@brandishad.com.br	http://www.brandishad.com.br
BROCCO ESTRATÉGIAS CRIATIVAS	(11) 2389.5972	SP	bruno@agenciabrocco.com.br	http://www.agenciabrocco.com.br
CALIA COMUNICAÇÕES	(11) 2122.8600	SP	zeaugusto@calia.com.br	http://www.calia.com.br
CARANDÁ PROPAGANDA	(65) 3052.0614	MT	atendimento@carandapropaganda.com.br	http://www.carandapropaganda.com.br
CJAFET COMUNICAÇÃO	(11) 4111.3882	SP	atendimento@cjafet.com.br	http://www.cjafetpropaganda.com.br
COMUNICAÇÃO ESTRATÉGICA	(21) 2557.0765	RJ	comunicacao@estrategica.com.br	http://www.estrategica.com.br
CONTENT HOUSE	(11) 2925.4479	SP	contato@contenthouse.com.br	http://contenthouse.com.br
CONTEXTO PROPAGANDA	(11) 3818.9900	SP	contexto@contexto.com.br	http://www.contexto.com.br
DENTSU	(11) 3528.5300	SP	contato@dentsubrasil.com	http://www.dentsubrasil.com
DM9	(11) 3054.9999	SP	contato@dentsubrasil.com	http://www.dm9ddb.com.br
DM9RIO	(21) 2529.9999	RJ	contato@dentsubrasil.com	http://www.dm9rio.com.br
DM9SUL	(51) 3016.9999	RS	contato@dentsubrasil.com	http://www.dm9sul.com.br
DPZ PROPAGANDA	(11) 3068.4000	SP	assessoria.imprensa@dpz.com.br	http://www.dpz.com.br
