NOME	TELEFONE	UF	EMAIL	WEB
10 SPORTS - IDEIAS E RESULTADOS	(84) 2010.7520	RN	mkt@10sports.com.br	http://www.10sports.com.br
9INE SPORTS & ENTERTAINMENT	(11) 3254.0299	SP	mkt@10sports.com.br	http://www.9ine.com.br
ARENA	(11) 3071.1657	SP	info@arenasports.com.br	http://www.arenasports.com.br
BRAVO MARKETING ESPORTIVO	(11) 5102.2644	SP	bravo@bravomarketingesportivo.com.br	http://www.bravomarketingesportivo.com.br
BRUNORO SPORT BUSINESS	(11) 3217.4200	SP	ru@brunorosportbusiness.com	http://www.brunorosportbusiness.com
CIA DE EVENTOS	(11) 5581.3153	SP	cia@ciadeeventos.com.br	http://www.ciadeeventos.com.br
DREAM FACTORY ENTRETENIMENTO	(11) 3048.6474	SP	claudio.romano@dreamfactory.com.br	http://www.dreamfactory.com.br
ECOMOTION SPORTS MARKETING	(11) 4564.1171	SP	ecomotion@ecomotion.com.br	http://www.ligaoutdoor.com.br
ESM MARKETING ESPORTIVO	(11) 3205.1767	SP	contato@esm.com.br	http://www.esm.com.br
FLT SPORTS	(11) 4152.8432	SP	ly@fltsports.com.br	http://www.fltsports.com.br
GAYOTTO MARKETING ESPORTIVO	(11) 3051.3748	SP	gayotto@gayotto.com.br	http://www.gayotto.com.br
GLOBAL SPORTS NETWORK	(21) 2495.1716	RJ	gsnsports@gsnsports.com.br	http://www.gsnsports.com.br
HAVAS SPORTS & ENTERTAINMENT	(11) 3197.3999	SP	noemie.claret@havas-se.com	http://www.havas-se.com
J. COCCO	(11) 3755.0908	SP	jcocco@jcocco.com.br	http://www.jcocco.com.br
JMK SPORT	(21)  2655.0158	RJ	sac@jmksport.com.br	http://www.jmksport.com.br
JT EMPREENDIMENTOS -  EIRELI	(11) 3063.5360	SP	simone.maricir@jtempreendimentos.com.br	http://
KLEFER MARKETING ESPORTIVO	(21) 2537.4779	RJ	klefer@klefer.com.br	http://www.klefer.com.br
MILK COMUNICAÇÃO	(11) 2244.6455	SP	ricardo.santos@emaildamilk.com.br	http://www.sitedamilk.com.br
MKTESPORTIVO.COM.BR	(11) 9566.5220	SP	cesar@mktesportivo.com.br	http://www.mktesportivo.com.br
MVP COMUNICAÇÃO E MARKETING ESPORTIVO	(11) 2574.3186	SP	contato@mvpgroup.com.br	http://www.mvpsports.com.br
ONE INTERNATIONAL SPORTS BUSINESS	(11) 3079.5546	SP	contato@lisb.com	http://www.lisb.com
RC3 BRASIL	(11) 3595.1503	SP	contato@rc3brasil.com.br	http://www.rc3brasil.com.br
SPEED SPORTS	(11) 3075.7920	SP	info@grupospeed.com.br	http://www.speedsports.com.br
SPORTION	(41) 3253.2843	PR	sportion@sportion.com.br	http://www.sportion.com.br
SPORTPAR	(21) 8152.0694	RJ	contato@sportpar.com.br	http://www.sportpar.com.br
SPORTSFUSE - MARKETING ESPORTIVO	(11) 3835.3447	SP	sportsfuse@sportsfuse.com.br	http://www.sportsfuse.com.br
STAR TRACKER	(11) 5051.3081	SP	contato@newtonball.com.br	http://www.newtonball.com.br
TALENTO E EXPRESSÃO	(21) 2532.5429	RJ	talento@talentoexpressao.com.br	http://www.talentoexpressao.com.br
TRAFFIC SPORTS	(11) 3888.8400	SP	comercial@traffic.com.br	http://www.traffic.com.br
UNYCO MARKETING ESPORTIVO	(11) 3078.2211	SP	tatiana@unyco.com.br	http://www.unyco.com.br
WOLFF SPORTS & MARKETING	(11) 3816.2686	SP	secretaria@wolffsports.com.br	http://www.wolffsports.com.br
ZOG	(21) 3527.0606	RJ	social@zog.com.br	http://www.zog.com.br
