NOME	TELEFONE	UF	EMAIL	WEB
A!FONTE COMUNICAÇÃO INTEGRADA	(11) 2386.9959	SP	afonteci@afonteci.com.br	http://www.afonteci.com.br
A.R.COMUNICAÇÃO EMPRESARIAL	(11) 3814.1036	SP	contato@arcomassessoria.com.br	http://www.arcomassessoria.com.br
A4 COMUNICAÇÃO	(11) 3897.4122	SP	a4com@a4com.com.br	http://www.a4com.com.br
ANDREOLI MSL BRASIL	(11) 3169.9300	SP	fernanda.nobrega@mlsgroup.com	http://www.andreolimsl.com.br
AUDENTIA COMUNICAÇÃO	(11) 3053.0498 / 91	SP	dagra@audentiacomunicacao.com.br	http://www.audentiacomunicacao.com.br
BEEPRESS	(11) 5044.9529	SP	wagner@beepress.com.br	http://www.beepress.com.br
BOISCHIO COMUNICAÇÃO	(11) 3064.2195	SP	adriana@boischio.com.br	http://www.boischio.com.br
BRERO SPORTS	(41) 4102.9000	PR	falecom@brerosports.com.br	http://www.brerosports.com.br
BUREAU COMUNICAÇÃO & MARKETING	(11) 2207.1867	SP	bureau@bureaucomunic.com.br	http://www.bureaucomunic.com.br
BURSON-MARSTELLER BRASIL	(11) 3094.2240	SP	rosangela.reis@bm.com	http://www.brasil.bm.com
CONCEITO COMUNIC	(16) 3515.0301	SP	sonia@conceitocomunic.com.br	http://www.conceitocomunic.com.br
DANTAS COMUNICAÇÕES	(11) 3082.2550	SP	manudantas@uol.com.br	http://
EDELMAN SIGNIFICA	(11) 3066.7777	SP	contato@edelmansignifica.com	http://www.edelmansignifica.com
ENFOQUE COMUNICAÇÃO	(41) 3352.2099	PR	contato@enfoque.com	http://www.enfoque.com
ESTÚDIO DE COMUNICAÇÃO	(11) 3848.6002	SP	estudio@estudiodecomunicacao.com.br	http://www.estudiodecomunicacao.com.br
FUNDAMENTO	(11) 5095.3866	SP	contato@fundamento.com.br	http://www.fundamento.com.br
GOLIN	(11) 3531.4965	SP	aritondaro@golin.com	http://www.golin.com
GPCOM COMUNICAÇÃO CORPORATIVA	(11) 3129.5758	SP	gp@gpcom.com.br	http://www.gpcom.com.br
GRUPO IN PRESS	(11) 3323.1520	SP	gp@gpcom.com.br	http://www.inpresspni.com.br
GRUPO TRADE COMUNICAÇÃO EMPRESARIAL	(11) 4226.3330	SP	redacao@grupotradecomunic.com.br	http://www.grupotradecomunic.com.br
HILL + KNOWLTON STRATEGIES	(11) 5503.2860	SP	daniel.medina@hkstrategies.com	http://www.hkstrategies.com
IMK RELAÇÕES PÚBLICAS	(11) 3813.1300	SP	imk@imk.com.br	http://www.imk.com.br
KETCHUM ESTRATÉGIA	(11) 5090.8900	SP	ketchum@ketchum.com.br	http://wwww.ketchum.com.br
KREAB GAVIN ANDERSON S/A	(11) 3054.3330	SP	saopaulo@kreab.com	http://www.kreab.com/sao-paulo
KRP RELAÇÕES PÚBLICAS	(11) 3086.3550	SP	atendimento@krpnet.com.br	http://www.krpnet.com.br
MAFER COMUNICAÇÃO	(11) 3081.2425	SP	silvia@mafer-comunicacao.com.br	http://www.mafer-comunicacao.com.br
MAGNETIZE! COMUNICAÇÃO QUE ATRAI	(11) 2427.8414	SP	contato@magnetize.com.br	http://www.magnetize.com.br
MILLERBAUM COMUNICAÇÃO	(21) 2538.1513	RJ	roberta.miller@millerbaum.com.br	http://www.millerbaum.com.br
OFICINA BRASILEIRA DE CLIPPING	(11) 5070.4400	SP	atendimento@oficinadeclipping.com.br	http://www.oficinadeclipping.com.br
OGILVY PR	(11) 3769.8700	SP	atendimento@oficinadeclipping.com.br	http://www.ogilvy.com.br
ÓGUI SIMPLIFICA	(11) 3123.9767	SP	adm@ogui.com.br	http://www.ogui.com.br
PHOTO FASHION	(11) 5549.7269	SP	priscilachapaval@uol.com.br	http://
PRESS COMUNICAÇÃO EMPRESARIAL	(31) 3245.3778	MG	rajao@presscomunicacao.com.br	http://www.presscomunicacao.com.br
PRIMEIRA PÁGINA	(11) 5908.8210	SP	ppagina@ppagina.com	http://www.ppagina.com
RODRIGUES & FREIRE	(11) 3628.5080	SP	irodrigues@rodrigues-freire.com.br	http://www.rodrigues-freire.com.br
RP1 COMUNICAÇÃO	(11) 5501.4655	SP	rp1@rp1.com.br	http://www.rp1.com.br
S2PUBLICOM	(21) 2543.3388	RJ	lorena.ribeiro@s2publicom.com.br	http://www.s2publicom.com
SANTA CLARA COMUNICAÇÃO	(71) 3264.1481	BA	santaclara@agenciasantaclara.com.br	http://www.agenciasantaclara.com.br
SATO7 COMUNICAÇÃO ESTRATÉGIA	(11) 2427.8879	SP	contato@sato7.com.br	http://www.sato7.com.br
SORTTIE SOLUÇÕES CRIATIVAS	(41) 3024.8003	PR	contato@sorttie.com.br	http://www.sorttie.com.br
